"Indicator type","Indicator","Description"
"IPv4","107.182.24.70","This is an IOC of APT41"
"IPv4","108.72.244.95","This is an IOC of APT41"
"IPv4","110.45.165.238","This is an IOC of APT41"
"IPv4","121.126.239.192","This is an IOC of APT41"
"IPv4","144.202.98.198","This is an IOC of APT41"
